TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,AccountBalance
TX000085,AC00140,154.71,2023-07-03 16:40:24,Debit,San Diego,1523.72
TX000086,AC00098,1340.19,2023-09-29 17:22:10,Credit,Austin,8654.28
TX000087,AC00303,24.56,2023-10-20 17:27:35,Debit,Mesa,9869.93
TX000088,AC00373,568.07,2023-08-28 17:03:53,Debit,Washington,10556.81
TX000089,AC00438,9.61,2023-06-22 18:37:29,Credit,San Diego,12883.91
TX000090,AC00437,392.96,2023-11-20 16:28:09,Debit,Kansas City,791.65
TX000091,AC00106,56745677,2023-09-14 16:49:33,Credit,Milwaukee,4064.02
TX000092,AC00310,223.85,2023-10-02 16:36:10,Debit,Kansas City,2929.91
TX000093,AC00149,230.66,2023-03-27 18:16:04,Debit,Houston,618.05
TX000094,AC00373,442.12,2023-12-21 16:37:03,Debit,Los Angeles,1375.8
TX000095,AC00425,644.17,2023-03-02 16:05:09,Debit,San Antonio,Nihucace
TX000096,AC00010,508.68,2023-06-26 16:16:50,Credit,Mesa,7708.41
TX000097,AC00348,858.63,2023-04-18 17:27:23,Credit,San Francisco,1872.96
TX000098,AC00011,25.36,2023-07-17 17:08:24,Debit,Louisville,201.04
TX000099,AC00453,147.62,2023-09-01 17:26:02,Debit,Charlotte,2115.8
